baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,garage,lot_sqft,sqft,stories,year_built,price_reduced_amount,latitude,longitude,sub_type_townhouse,type_condo_townhome_rowhome_coop,type_condos,type_duplex_triplex,type_land,type_mobile,type_multi_family,type_single_family,type_townhomes,is_price_reduced_True
1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,882.0,1.0,1900.0,40000.0,42.285877,-71.047043,0,0,1,0,0,0,0,0,0,0
4.0,0.0,0.0,3.0,1.0,4.0,3.0,131987.0,3529.0,1.0,2014.0,0.0,34.760516,-92.594155,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3380256.0,0.0,0.0,0.0,0.0,43.470295,-116.06106,0,0,0,0,1,0,0,0,0,0
2.0,0.0,1.0,1.0,0.0,4.0,1.0,4961.0,1406.0,1.0,1947.0,0.0,44.984951,-93.107497,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,3.0,0.0,1743.0,933.0,2.0,1930.0,0.0,41.794457,-71.412028,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,3.0,0.0,6970.0,1428.0,2.0,1920.0,10000.0,34.729216,-92.285366,0,0,0,0,0,0,0,1,0,1
3.0,0.0,0.0,2.0,1.0,4.0,2.0,14375.0,1920.0,0.0,1955.0,0.0,42.648539,-73.796841,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,2.0,0.0,828.0,980.0,2.0,1965.0,5000.0,44.940891,-93.116465,1,0,0,0,0,0,0,0,1,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,4792.0,2001.0,2.0,2016.0,0.0,43.057796,-89.564436,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,9344.0,1994.0,1.0,1973.0,5100.0,33.622703,-112.110726,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,10019.0,1747.0,1.0,1971.0,100.0,32.309924,-86.240711,0,0,0,0,0,0,0,1,0,1
5.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,3750.0,2.0,1955.0,0.0,38.570443,-92.174364,0,0,0,0,0,0,1,0,0,0
2.0,0.0,0.0,2.0,0.0,4.0,2.0,23958.0,2584.0,1.0,1988.0,0.0,30.520298,-84.202594,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,69696.0,0.0,0.0,0.0,8000.0,30.629042,-84.286999,0,0,0,0,1,0,0,0,0,0
3.0,0.0,0.0,2.0,1.0,4.0,4.0,88867.0,2002.0,3.0,1978.0,0.0,47.004523,-122.736279,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,1.0,1.0,3.0,0.0,3485.0,1318.0,0.0,0.0,0.0,42.638275,-73.7822,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,1.0,2.0,3.0,2.0,871.0,1296.0,2.0,1972.0,7900.0,39.936687,-83.147791,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,1.0,1.0,3.0,0.0,8276.0,1104.0,1.0,1956.0,25000.0,40.626752,-111.843344,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,29185.0,1578.0,1.0,2022.0,3000.0,35.621552,-78.693309,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,2.0,0.0,3049.0,713.0,0.0,0.0,0.0,38.372354,-81.652477,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,8233.0,910.0,0.0,1928.0,5000.0,41.603136,-93.700533,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,2.0,0.0,2657.0,920.0,1.0,1985.0,29000.0,30.240381,-97.782936,0,0,1,0,0,0,0,0,0,0
5.0,0.0,1.0,3.0,1.0,5.0,4.0,87556.0,6080.0,1.0,2008.0,0.0,35.628275,-105.913794,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,15246.0,2298.0,2.0,2004.0,14900.0,39.846078,-86.346314,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,13338.0,1485.0,1.0,1987.0,0.0,30.554603,-91.055789,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,22651.0,2590.0,1.0,1970.0,10000.0,30.409578,-84.290225,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,4.0,0.0,2461.0,1380.0,3.0,1925.0,0.0,40.224596,-74.727233,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,2.0,0.0,6.0,2.0,4857.0,2062.0,2.0,1920.0,0.0,41.802509,-71.422089,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,6970.0,1318.0,1.0,1984.0,5000.0,35.335219,-97.522168,0,0,0,0,0,0,0,1,0,1
2.0,0.0,0.0,2.0,0.0,2.0,0.0,30231.0,1310.0,1.0,1965.0,0.0,38.174461,-84.916163,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,3.0,0.0,3.0,6.0,43996.0,2029.0,2.0,1972.0,0.0,39.201895,-119.753531,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4356.0,0.0,0.0,0.0,0.0,44.959267,-123.024055,0,0,0,0,1,0,0,0,0,0
3.0,0.0,0.0,2.0,1.0,2.0,0.0,5301.0,1360.0,2.0,1984.0,0.0,39.171459,-75.541378,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,7405.0,1384.0,1.0,1943.0,0.0,34.779791,-92.344303,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,1.0,2178.0,1507.0,2.0,2002.0,10000.0,33.756401,-84.472233,1,0,0,0,0,0,0,0,1,0
1.0,0.0,0.0,1.0,0.0,2.0,2.0,2178.0,1072.0,1.0,1972.0,0.0,38.566709,-121.416293,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,2.0,1.0,1742.0,1320.0,2.0,1979.0,0.0,40.777753,-96.6437,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,6098.0,1651.0,1.0,1922.0,0.0,34.761795,-92.325963,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1050.0,0.0,1960.0,0.0,33.980161,-81.004175,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,6098.0,1433.0,1.0,1985.0,0.0,38.624831,-121.50927,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,6810.0,1576.0,1.0,1967.0,0.0,33.59395,-112.126512,0,0,0,0,0,0,0,1,0,0
3.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,2195.0,1.0,1976.0,45000.0,40.773801,-111.89229,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,6534.0,1580.0,1.0,2001.0,0.0,38.155715,-84.898062,0,0,0,0,0,0,0,1,0,0
